steam_id	aWin	SE	games	alias
76561198010942011	2.33	0.98	6.0	^6deal ^7Silencep
76561198043345474	1.95	0.21	168.0	cockroach
76561198033439430	1.93	0.14	756.0	MASTERMIND
76561198228590616	1.85	0.16	409.0	ph0en|X
76561198075628646	1.74	0.19	245.0	fo_tbh
76561198045866799	1.56	0.25	112.0	abso
76561198042268423	1.56	0.14	619.0	^7jc^4b^7
76561198077163281	1.51	0.59	17.0	Zedem0n
76561197983318796	1.43	0.22	150.0	FX
76561198008234329	1.35	0.13	727.0	MAKIE
76561197982671330	1.33	0.1	1629.0	Raist
76561198146846857	1.33	0.24	116.0	Conan
76561198196618515	1.31	0.11	1484.0	Drayan
76561198114832578	1.31	0.19	198.0	kirson
76561198257362399	1.31	0.14	551.0	^2weed^6poof^7
76561197965938361	1.3	0.45	30.0	ᴴᴬᴴᴬ XDS
76561198077156894	1.28	0.12	746.0	apex
76561198149540641	1.25	0.29	79.0	Cheddar Cheese Puffs
76561198254687687	1.19	0.13	478.0	KRL
76561198013356693	1.18	0.12	784.0	HEADZ
76561197985202252	1.14	0.23	138.0	diabz
76561198346024921	1.11	0.11	1059.0	^6A  P  H  3  X^7
76561198107461408	1.09	0.1	1609.0	Dloobiq
76561198002515349	1.08	0.4	39.0	^2gogoplata^7
76561197964623506	1.06	0.4	43.0	^3[ΠΝΔ]DHZ^7
76561198028016604	1.06	0.12	614.0	^4d^7B^4d^7Bal^4d^7ur
76561198047335245	1.06	0.75	11.0	l1nkin
76561198068877542	1.03	0.14	406.0	unity
76561198139067104	1.03	0.12	657.0	Fulgore
76561198257391553	1.0	0.16	307.0	vulTure
76561198122684842	1.0	0.12	583.0	Osnart
76561198023589138	0.98	0.22	137.0	ins
76561197993861011	0.98	0.25	102.0	ani
76561198256352933	0.97	0.23	127.0	om3n
76561198106787712	0.96	0.11	882.0	^1r^2a^3n^4d^5a^6l^7l
76561198049631090	0.96	0.11	956.0	twitch.tv/rashan0121
76561198214411141	0.95	0.2	156.0	Destiny
76561198002376252	0.94	0.18	210.0	monad
76561199018105630	0.94	0.29	74.0	mingi
76561198264657389	0.94	1.94	2.0	NW1
76561198084461653	0.93	0.97	6.0	edgar davison
76561198026677380	0.92	2.38	1.0	Tier Z
76561198038215627	0.91	0.23	129.0	esdf
76561198256203867	0.91	0.22	147.0	prestij
76561198834543007	0.9	0.1	1314.0	froz1k o_O
76561198141767332	0.89	0.42	33.0	r34.hokum
76561197960477076	0.89	1.37	4.0	_gory
76561198025670942	0.88	0.28	82.0	tripleSex
76561198279892880	0.88	0.1	935.0	r3cke
76561198008496401	0.86	0.26	99.0	calipt
76561198088270117	0.86	0.26	95.0	pipeline
76561198257316780	0.85	0.12	577.0	tr1x0
76561197978345530	0.85	0.16	276.0	z1kWin
76561198025225261	0.85	1.69	2.0	pecka
76561198199452077	0.83	2.15	3.0	Klyb
76561197965328941	0.83	1.7	2.0	djo9
76561198054868921	0.82	0.14	392.0	YNAM
76561198162507961	0.82	0.31	67.0	^7damn3d^4drew^7
76561197982035811	0.8	0.25	100.0	na1x
76561199110561928	0.8	0.41	35.0	musti
76561198440329815	0.79	0.15	325.0	iam^4NX7^7
76561197961442465	0.78	2.36	2.0	.gissa
76561198258257656	0.78	0.1	951.0	massoth
76561198274418376	0.77	1.06	5.0	ksa
76561198166188119	0.76	1.19	4.0	M
76561198075079469	0.76	0.55	20.0	d1zulya
76561198122207599	0.74	0.13	463.0	n3
76561197997252303	0.73	2.37	1.0	stommekat
76561198255736445	0.72	0.1	1158.0	bolus
76561198299238187	0.72	0.17	220.0	sav
76561198414877431	0.71	0.98	6.0	phaze
76561198257433093	0.71	0.1	1170.0	C3noB1t
76561198000088567	0.71	0.23	123.0	nvc
76561198098777141	0.71	0.09	1683.0	Wallsnag
76561198881954793	0.71	0.12	577.0	keyser zöza
76561198003847269	0.71	0.5	25.0	PsY
76561198028322375	0.71	2.37	1.0	fogel
76561198154658099	0.68	2.38	1.0	^4#1 ^7un^54^7x*
76561198257306259	0.68	1.4	3.0	^3[ΠΝΔ] ^3xpe^6HOPE^3з^7
76561198039989372	0.68	0.28	75.0	naitan
76561198256332534	0.68	0.39	39.0	SpRiTneY bEers
76561198053186404	0.68	0.22	132.0	frts
76561198013666605	0.67	0.2	165.0	Ant3stor
76561198107988415	0.65	0.87	9.0	latuch
76561197992882111	0.64	0.11	654.0	stripyツ
76561198256841970	0.63	0.33	59.0	^5҉ ^7ark1
76561198918808464	0.62	1.49	4.0	^4[^7ek^1.^7coda^4]^7
76561198122384360	0.62	0.25	107.0	^4u^3a^6Lasko^7
76561197973893045	0.61	0.2	169.0	khan
76561197971148249	0.61	0.09	1250.0	djinx
76561197995384039	0.6	0.26	90.0	shiieeet
76561198045421697	0.6	2.95	1.0	Ugandalf The Black
76561197969854990	0.59	1.61	3.0	HANZO
76561197990318078	0.59	0.55	19.0	zolee
76561198257445213	0.58	0.32	56.0	jaysson
76561198154943013	0.58	0.73	12.0	^4masterclaaars^7
76561198257521635	0.57	0.11	648.0	anymal
76561198034086285	0.57	0.15	294.0	Karim
76561198256772293	0.56	0.18	217.0	touri^6Z^7t
76561198244824612	0.56	0.87	8.0	Reeseend
76561197960270492	0.56	0.46	30.0	erk
76561198037076307	0.55	0.4	39.0	cainite
76561197971635353	0.55	0.12	593.0	BeukeR
76561198318866295	0.55	0.09	1189.0	^2razer ^7edge
76561198022905415	0.53	0.14	368.0	Ice
76561198020963681	0.52	1.18	1.0	Kirreen
76561197976183478	0.52	2.36	1.0	ddddemetrio
76561198069513604	0.52	2.37	1.0	autobahnquake
76561197970764070	0.52	0.08	1789.0	Pettern
76561198117525838	0.52	2.37	1.0	gaesaeki
76561197982636025	0.52	0.17	249.0	^1n^2o^3o^4b^5i^6eone^4[solo]^7
76561198065679326	0.51	0.57	18.0	Xer
76561198004481673	0.51	0.86	8.0	^1DEICIDE^7
76561198139018619	0.51	0.93	7.0	Lambaro
76561198278082198	0.5	0.64	14.0	MaRceLLo
76561198280627259	0.49	0.27	87.0	sizzrp
76561199163321398	0.48	0.17	247.0	^5A^7nn^64^7hilation
76561198066083651	0.47	0.97	6.0	coffee
76561197994335851	0.46	0.6	18.0	OlegTopor2003
76561198064199875	0.46	0.09	1477.0	invi
76561197964408312	0.45	0.72	11.0	sou^1l^7reaver
76561197963473315	0.44	0.98	6.0	hmstx
76561198155534749	0.44	1.18	1.0	quakenstein
76561198332980948	0.44	0.82	9.0	vasho
76561198043070738	0.43	0.17	215.0	^1N^3e^2x^1on^360^2hz^7
76561198155003669	0.42	0.12	567.0	re4
76561197988995240	0.41	3.37	3.0	^7[^4U^1K^7]^7misterph
76561198019672639	0.41	0.14	392.0	^7lici
76561198031267126	0.41	0.2	165.0	sno
76561198042968060	0.41	1.67	2.0	nettah
76561199024301816	0.4	0.8	9.0	Q3predatoR.ru
76561197993233912	0.4	0.58	18.0	proZaC
76561198159947488	0.39	0.16	260.0	bjqrn0
76561198200771114	0.39	2.37	1.0	ﬁﬁ
76561198113970099	0.38	0.9	7.0	Lorm
76561198256497752	0.38	0.52	23.0	^^0SheCanWait^7
76561198163827733	0.38	0.61	16.0	PAINE
76561198256265484	0.38	2.37	1.0	distel
76561198002370961	0.38	1.1	5.0	Alostraz
76561198083950618	0.37	0.31	67.0	aireth
76561198026872390	0.37	0.58	17.0	Dday
76561198267436829	0.37	0.62	15.0	DUDA_PASKUDA
76561198257420521	0.36	0.14	358.0	^7T^14^7NKH
76561197965308771	0.36	0.09	1457.0	drki
76561198030933162	0.34	0.1	906.0	^1Lo^3ka^7rio
76561198039145005	0.34	0.26	99.0	knz
76561198047715408	0.33	0.11	743.0	gog
76561198966814346	0.33	1.2	5.0	ORIGIN
76561198273670912	0.33	0.74	11.0	^7u^6l^7osen
76561198214970421	0.32	1.19	1.0	Jolly
76561198959359034	0.32	0.4	38.0	vishru
76561197968341051	0.31	1.38	3.0	^6KILLALOT^7
76561197972946521	0.3	1.22	4.0	oddi
76561198045002768	0.3	2.36	1.0	leonq3
76561198201751381	0.3	0.14	374.0	phobos
76561198153281479	0.3	1.69	2.0	badnews
76561198090165083	0.29	1.28	4.0	AUDIOVEGAS
76561198088925347	0.29	0.93	7.0	luminus
76561199074963248	0.29	1.29	4.0	katix111
76561197970742152	0.29	0.14	408.0	Hoebs
76561197960705576	0.29	0.87	9.0	empish
76561198256040915	0.28	0.2	167.0	Tudermaci
76561198345631230	0.28	1.72	2.0	STN
76561198257679175	0.28	0.18	229.0	^4E^7teto
76561198062007225	0.27	0.24	5.0	KosolapY
76561198161099111	0.27	0.24	5.0	03
76561198054367317	0.27	0.24	5.0	[eSport]zubich
76561198036667942	0.27	0.24	5.0	^1Fire^4Lotus^7
76561198057787818	0.27	0.24	5.0	SidiR
76561198132293228	0.27	0.12	595.0	SodaJoe
76561198155662969	0.27	0.08	1853.0	so^1ph^7ia
76561198258475383	0.25	0.08	2797.0	BLuE
76561198285680726	0.25	0.11	699.0	^2h^3u^1e ^7melech^2e^7sh
76561199143818171	0.24	0.72	11.0	zygnusX
76561197970397164	0.23	1.18	4.0	buff0x
76561198017950870	0.23	1.69	2.0	Shinobbi
76561198038270379	0.23	2.02	2.0	DrJ ♦
76561197960624184	0.23	0.44	31.0	[*RCTM*].Youen
76561197992793034	0.22	0.13	492.0	Smooth
76561198241584468	0.22	0.98	6.0	swd
76561198261798195	0.22	0.82	9.0	sinc
