excellent	net	netDmg	damage_dealt	QLStats	sNet	sgNet	aNet	alias	games
6.85	28.21	5012.26	11658.98	879.31	0.74	0.98	1.65	cockroach	168.0
4.33	5.33	4757.14	13374.37	699.29	0.66	1.15	1.64	^6deal ^7Silencep	6.0
7.72	8.49	4078.12	12914.29	660.05	0.81	1.08	1.62	MASTERMIND	756.0
6.09	11.23	3189.56	11503.36	536.3	0.7	0.86	1.56	ph0en|X	409.0
5.01	13.41	2694.0	9935.95	369.75	0.43	0.76	1.43	fo_tbh	245.0
5.31	9.19	2560.96	10075.1	352.46	0.46	0.7	1.31	^7jc^4b^7	619.0
7.4	15.87	5031.96	13415.79	742.58	0.7	1.17	1.26	abso	112.0
5.47	11.0	3108.88	10575.21	457.59	0.67	0.85	1.17	Zedem0n	17.0
6.77	13.48	4276.83	11922.75	569.02	0.5	0.83	1.16	FX	150.0
5.28	0.03	2603.26	11168.85	340.63	0.44	0.76	1.12	MAKIE	727.0
4.87	29.06	2542.06	8730.46	442.76	0.37	0.7	1.12	Raist	1629.0
5.88	1.4	3370.46	11984.09	456.3	0.59	0.8	1.09	Conan	116.0
6.14	14.95	4009.36	11319.79	520.53	0.4	0.78	1.09	kirson	198.0
4.94	9.06	1981.84	10116.64	235.63	0.38	0.75	1.09	Drayan	1484.0
5.48	27.08	3305.98	9778.19	550.76	0.45	0.8	1.07	^2weed^6poof^7	551.0
4.09	-6.54	1104.55	10141.22	97.84	0.36	0.55	1.05	apex	746.0
5.7	13.63	4224.33	12277.85	574.46	0.53	0.94	1.03	ᴴᴬᴴᴬ XDS	30.0
5.3	13.37	4172.89	11580.41	590.55	0.48	0.9	0.99	KRL	478.0
4.81	18.08	2738.67	9729.99	402.7	0.37	0.65	0.98	HEADZ	784.0
5.82	10.29	2772.77	10810.6	392.68	0.57	0.81	0.96	Cheddar Cheese Puffs	79.0
5.38	25.14	3197.52	9440.07	524.17	0.37	0.74	0.92	^6A  P  H  3  X^7	1059.0
4.54	14.45	2062.32	9047.92	276.29	0.35	0.57	0.9	Dloobiq	1609.0
5.2	11.88	2153.64	9626.85	283.09	0.36	0.73	0.9	^4d^7B^4d^7Bal^4d^7ur	614.0
4.33	5.13	1693.12	8554.94	145.98	0.31	0.57	0.89	^3[ΠΝΔ]DHZ^7	43.0
5.4	4.69	2986.59	10675.21	354.81	0.35	0.76	0.88	diabz	138.0
5.2	-0.31	2140.49	10809.93	204.29	0.35	0.51	0.88	Fulgore	657.0
5.59	23.08	3070.99	10519.1	386.27	0.44	0.82	0.85	unity	406.0
4.29	14.98	2496.01	8702.19	249.24	0.05	0.52	0.83	Destiny	156.0
3.93	-5.32	708.46	9275.88	6.41	0.26	0.58	0.83	Osnart	583.0
5.64	4.07	2515.42	10964.56	333.23	0.58	0.84	0.83	^2gogoplata^7	39.0
5.14	6.77	2672.16	10719.07	285.14	0.31	0.75	0.8	ani	102.0
6.5	18.11	3980.27	11303.88	474.47	0.35	0.95	0.8	ins	137.0
5.52	16.53	3043.63	10158.98	410.52	0.35	0.74	0.79	^1r^2a^3n^4d^5a^6l^7l	882.0
5.87	32.53	3502.02	9501.9	563.57	0.34	0.76	0.79	vulTure	307.0
4.97	4.79	1918.53	9945.8	171.01	0.28	0.65	0.78	twitch.tv/rashan0121	956.0
6.36	8.0	3126.27	11413.52	425.48	0.78	1.0	0.78	l1nkin	11.0
5.73	17.67	3347.72	10192.41	456.73	0.38	0.75	0.77	om3n	127.0
5.02	2.36	2582.68	10943.35	215.85	0.17	0.71	0.77	mingi	74.0
4.95	18.69	3794.63	10886.67	525.42	0.31	0.82	0.76	monad	210.0
4.11	11.74	2421.28	9082.07	279.03	0.16	0.56	0.75	froz1k o_O	1314.0
4.96	0.23	2078.58	10364.84	146.29	0.18	0.65	0.74	esdf	129.0
4.82	2.89	2737.19	10995.18	266.57	0.27	0.62	0.74	r3cke	935.0
4.52	1.39	1901.73	9631.38	146.42	0.21	0.6	0.74	prestij	147.0
3.67	17.72	1554.93	7504.04	177.91	0.09	0.51	0.73	z1kWin	276.0
4.15	4.64	1858.42	9788.83	181.23	0.31	0.66	0.71	tripleSex	82.0
3.7	16.58	2216.5	8164.33	229.54	0.04	0.48	0.71	pipeline	95.0
4.72	22.31	2766.15	9340.78	420.65	0.27	0.66	0.71	tr1x0	577.0
3.49	4.35	1786.0	8910.19	118.29	0.07	0.42	0.7	^7damn3d^4drew^7	67.0
5.05	22.64	2397.65	8713.57	338.24	0.29	0.62	0.67	calipt	99.0
6.0	20.95	4335.29	11923.69	498.82	0.29	0.84	0.67	r34.hokum	33.0
4.82	9.18	2405.35	9863.96	216.05	0.19	0.65	0.67	YNAM	392.0
3.51	-9.86	1501.7	9269.18	-2.93	0.04	0.43	0.66	musti	35.0
7.02	18.14	4971.74	12091.67	665.1	0.51	0.95	0.65	na1x	100.0
5.01	6.3	2102.85	9811.51	166.53	0.26	0.53	0.65	massoth	951.0
3.87	-2.57	1429.16	9342.76	56.44	0.13	0.41	0.64	iam^4NX7^7	325.0
4.23	-0.92	2110.33	9560.14	135.04	0.1	0.51	0.6	sav	220.0
8.84	12.5	4367.47	12075.34	507.59	0.5	0.87	0.6	edgar davison	6.0
3.94	2.23	1874.73	9179.34	108.28	0.06	0.54	0.6	keyser zöza	577.0
4.01	3.25	1092.34	8838.65	52.02	0.11	0.51	0.6	n3	463.0
2.91	-3.5	131.51	7766.89	-113.05	-0.03	0.5	0.59	bolus	1158.0
3.95	4.37	1490.76	8364.79	98.03	0.08	0.49	0.59	Wallsnag	1683.0
3.2	11.37	672.88	7224.61	20.53	0.08	0.45	0.58	C3noB1t	1170.0
4.0	9.63	2564.21	9253.32	207.25	0.05	0.62	0.58	nvc	123.0
3.01	-6.75	1184.43	8118.53	-153.57	-0.16	0.43	0.57	_gory	4.0
2.5	2.5	2878.58	9673.4	203.0	-0.13	0.46	0.57	NW1	2.0
4.67	1.94	2296.73	9947.07	142.22	0.05	0.55	0.57	naitan	75.0
4.24	-0.08	1823.97	9184.26	81.53	0.05	0.53	0.55	frts	132.0
5.54	15.78	3832.99	10907.13	432.13	0.28	0.73	0.55	Ant3stor	165.0
3.0	20.49	1622.48	8629.23	264.23	0.27	0.64	0.54	pecka	2.0
3.2	3.99	1567.44	8090.61	39.43	-0.06	0.39	0.53	SpRiTneY bEers	39.0
3.37	-12.24	525.31	8883.08	-115.76	0.02	0.35	0.53	stripyツ	654.0
2.0	17.99	3449.89	8511.27	141.14	-0.5	0.3	0.52	Tier Z	1.0
3.0	-4.5	1689.96	9007.61	-27.09	-0.22	0.26	0.52	djo9	2.0
4.25	-0.5	2599.42	10266.46	183.34	0.29	0.53	0.52	M	4.0
3.2	-7.1	258.99	7831.08	-108.96	-0.03	0.41	0.51	PsY	25.0
3.0	-3.8	1621.08	8323.13	-52.77	-0.18	0.25	0.51	ksa	5.0
3.0	-44.99	-2186.8	7346.14	-523.22	-0.34	-0.0	0.51	.gissa	2.0
