steam_id	aWin	SE	games	alias
76561198043345474	1.11	0.29	100.0	cockroach
76561198228590616	0.99	0.21	322.0	ph0en|X
76561198033439430	0.92	0.21	445.0	MASTERMIND
76561198042268423	0.86	0.18	479.0	^7jc^4b^7
76561197982671330	0.73	0.14	1257.0	Raist
76561198077163281	0.71	0.6	17.0	Zedem0n
76561198254687687	0.65	0.21	194.0	KRL
76561198065679326	0.64	1.18	4.0	Xer
76561198013356693	0.62	0.16	451.0	HEADZ
76561198028016604	0.61	0.14	598.0	^4d^7B^4d^7Bal^4d^7ur
76561198008234329	0.61	0.17	464.0	MAKIE
76561198257362399	0.6	0.19	293.0	^2weed^6poof^7
76561197983318796	0.6	0.25	150.0	FX
76561198114832578	0.6	0.21	185.0	kirson
76561198139067104	0.58	0.13	607.0	Fulgore
76561197978345530	0.57	0.18	202.0	z1kWin
76561198273971593	0.57	0.45	30.0	Mattias
76561198196618515	0.56	0.15	920.0	Drayan
76561198107461408	0.53	0.13	1096.0	Dloobiq
76561198834543007	0.5	0.12	1017.0	froz1k o_O
76561198149540641	0.49	0.49	28.0	Cheddar Cheese Puffs
76561197993861011	0.49	0.29	83.0	ani
76561198257316780	0.48	0.15	391.0	tr1x0
76561198049631090	0.47	0.13	819.0	twitch.tv/rashan0121
76561199018105630	0.47	0.3	74.0	mingi
76561198122684842	0.47	0.16	358.0	Osnart
76561197964623506	0.46	0.68	21.0	^3[ΠΝΔ]DHZ^7
76561198256352933	0.46	0.34	57.0	om3n
76561198106787712	0.45	0.14	653.0	^1r^2a^3n^4d^5a^6l^7l
76561198025670942	0.45	0.28	82.0	tripleSex
76561199110561928	0.44	0.41	35.0	musti
76561198346024921	0.44	0.16	502.0	^6A  P  H  3  X^7
76561198258257656	0.44	0.13	586.0	massoth
76561198054868921	0.44	0.15	348.0	YNAM
76561198299238187	0.44	0.18	220.0	sav
76561198098777141	0.43	0.11	1037.0	Wallsnag
76561198047335245	0.43	0.78	11.0	l1nkin
76561198077156894	0.43	0.17	459.0	apex
76561198068877542	0.42	0.18	284.0	unity
76561198881954793	0.42	0.13	548.0	keyser zöza
76561198038215627	0.41	0.5	25.0	esdf
76561198122207599	0.41	0.16	307.0	n3
76561198257521635	0.41	0.12	601.0	anymal
