steam_id	aNet	SE	games	alias
76561198028376914	25.65	2.45	135.0	winz
76561198044065399	17.4	5.3	26.0	krysa
76561198171861028	17.21	2.58	119.0	gainon
76561198239142044	16.79	3.13	77.0	SPART1E
76561198017320685	16.4	2.66	124.0	Xron
76561198010942011	16.06	11.69	8.0	^6deal ^7Silencep
76561198045866799	16.01	1.42	498.0	abso
76561198002515349	15.04	1.05	1242.0	^2gogoplata^7
76561198034120620	14.96	11.82	5.0	ash
76561198052511951	14.79	4.41	38.0	cwz
76561198257561075	14.75	1.27	632.0	antonio_by
76561198149540641	14.48	1.58	359.0	Cheddar Cheese Puffs
76561198033171295	14.16	4.91	31.0	lithium
76561198088925347	14.14	2.1	180.0	luminus
76561198264657389	13.83	2.05	194.0	NW1
76561197996226415	13.79	2.29	149.0	2dg
76561198054844275	13.76	2.62	113.0	pavel
76561198207726407	13.7	2.02	213.0	421
76561198002178744	13.42	2.79	97.0	agent
76561198106787712	13.33	1.23	632.0	^1r^2a^3n^4d^5a^6l^7l
76561198122384360	12.92	0.92	1795.0	^4u^3a^6Lasko^7
76561197993233912	12.28	2.23	154.0	proZaC
76561198361184829	12.24	9.38	10.0	えしゃじょうり
76561198256649166	12.02	2.29	157.0	kenny
76561198257420521	12.01	1.17	769.0	^7T^14^7NKH
76561198089070422	11.97	2.55	115.0	PokiMoki
76561198102189232	11.86	1.56	356.0	^4b52. ^7evt
76561198013666605	11.49	1.15	754.0	Ant3stor
76561198256203867	11.41	1.16	733.0	prestij
76561197994123047	11.25	0.95	1194.0	vasnur
76561198256352933	11.01	0.9	1628.0	om3n
76561198022534637	11.0	1.0	1107.0	prodigy
76561198025225261	10.75	1.06	928.0	pecka
76561197964625360	10.42	2.58	108.0	^1shuukkx^7
76561198054865150	10.22	11.43	9.0	GV
76561198033439430	10.17	2.52	121.0	MASTERMIND
76561197990775701	10.09	3.76	54.0	YegorB
76561198257377273	10.05	1.42	436.0	kroy
76561197973313066	9.97	2.46	124.0	r41dan
76561198256878090	9.84	1.78	272.0	httfnttr
76561198417305282	9.76	4.15	41.0	421
76561198043345474	9.75	6.02	19.0	cockroach
76561197968341051	9.64	3.36	78.0	^6KILLALOT^7
76561198023589138	9.49	3.13	76.0	ins
76561198154943013	9.44	2.95	84.0	^4masterclaaars^7
76561198257437671	9.14	0.89	1557.0	^^0Wood^7
76561198076369146	9.07	5.39	27.0	nerv
76561198079788427	9.05	0.86	1730.0	^7haz_^4mat^7
76561198257391553	9.04	3.1	74.0	vulTure
76561198816101540	8.81	25.62	2.0	BuddahKillah
76561198002370961	8.78	1.87	231.0	Alostraz
76561198137504755	8.77	7.76	11.0	DeRiSaS
76561198032873189	8.74	8.4	18.0	noctis
76561198202963856	8.64	4.44	38.0	Fekete oves
76561198154658099	8.63	1.33	469.0	^4#1 ^7un^54^7x*
76561197964623506	8.37	1.21	617.0	^3[ΠΝΔ]DHZ^7
76561198209851192	8.32	10.94	6.0	black
76561198257534300	8.31	2.82	140.0	^^0kke^7
76561198014484303	8.11	2.38	143.0	wntt
76561198157637927	7.92	1.44	409.0	mag1c
76561198010998587	7.87	2.36	128.0	Vigur
76561198052757460	7.8	1.65	289.0	1993
76561198414877431	7.77	2.57	114.0	phaze
76561198196618515	7.73	1.23	576.0	Drayan
76561198026248899	7.57	2.65	107.0	twitch.tv/zanesql
76561197976338965	7.57	1.59	329.0	h8m3
76561198061282570	7.56	1.39	452.0	troolz
76561198066244141	7.52	1.03	912.0	snaga
76561198275498876	7.48	6.83	14.0	^7jopozavr
76561197960308495	7.46	4.47	35.0	fazz
76561198043070738	7.45	1.35	439.0	^1N^3e^2x^1on^360^2hz^7
76561198967038183	7.25	2.76	96.0	Xupypr
76561198287339338	7.24	6.16	18.0	^3Teplo^7
76561198076904580	7.21	12.79	4.0	arronax
76561198319398558	7.15	14.55	4.0	base
76561198146266686	7.1	1.96	217.0	^1А^3^1A ^7 andjey
76561198166603978	7.03	1.14	691.0	lethal
