steam_id	aNet	SE	games	alias
76561198034120620	34.12	11.64	5.0	ash
76561198028376914	33.85	2.41	135.0	winz
76561198010942011	29.93	11.5	8.0	^6deal ^7Silencep
76561198044065399	28.44	5.21	26.0	krysa
76561198239142044	23.39	3.08	77.0	SPART1E
76561198052511951	23.32	4.35	38.0	cwz
76561198816101540	22.74	25.22	2.0	BuddahKillah
76561198033171295	22.54	4.83	31.0	lithium
76561198171861028	22.44	2.54	119.0	gainon
76561198045866799	21.62	1.4	498.0	abso
76561198017320685	20.94	2.62	124.0	Xron
76561198361184829	20.56	9.23	10.0	えしゃじょうり
76561198054865150	20.28	11.25	9.0	GV
76561198002515349	20.16	1.03	1242.0	^2gogoplata^7
76561198088925347	19.55	2.07	180.0	luminus
76561198257561075	19.43	1.25	632.0	antonio_by
76561198054844275	19.32	2.58	113.0	pavel
76561198149540641	19.2	1.55	359.0	Cheddar Cheese Puffs
76561198264657389	19.11	2.02	194.0	NW1
76561197996226415	18.95	2.26	149.0	2dg
76561198002178744	18.76	2.75	97.0	agent
76561198207726407	18.28	1.98	213.0	421
76561198106787712	17.59	1.21	632.0	^1r^2a^3n^4d^5a^6l^7l
76561197993233912	17.59	2.2	154.0	proZaC
76561198256649166	17.5	2.25	157.0	kenny
76561198209851192	17.36	10.77	6.0	black
76561198122384360	17.28	0.91	1795.0	^4u^3a^6Lasko^7
76561198089070422	16.95	2.51	115.0	PokiMoki
76561198076904580	16.86	12.59	4.0	arronax
76561198257420521	16.78	1.15	769.0	^7T^14^7NKH
76561198319398558	16.6	14.32	4.0	base
76561198228590616	16.38	19.45	3.0	ph0en|X
76561198043345474	16.29	5.93	19.0	cockroach
76561198076369146	16.21	5.3	27.0	nerv
76561198102189232	16.11	1.53	356.0	^4b52. ^7evt
76561197990775701	16.08	3.7	54.0	YegorB
76561198013666605	15.78	1.13	754.0	Ant3stor
76561198032873189	15.69	8.27	18.0	noctis
76561198137504755	15.5	7.64	11.0	DeRiSaS
76561198256203867	15.4	1.14	733.0	prestij
76561198800999671	15.1	14.66	3.0	shiieeet
76561198256352933	15.02	0.88	1628.0	om3n
76561198033439430	14.96	2.48	121.0	MASTERMIND
76561198417305282	14.92	4.08	41.0	421
76561198022534637	14.82	0.99	1107.0	prodigy
76561197994123047	14.7	0.94	1194.0	vasnur
76561198025225261	14.62	1.04	928.0	pecka
76561197973313066	14.54	2.42	124.0	r41dan
76561197981773839	14.51	25.23	1.0	Valunya
76561198023589138	14.49	3.08	76.0	ins
76561197964625360	14.23	2.54	108.0	^1shuukkx^7
76561198048532604	14.21	16.82	5.0	^2Latrommi^7
76561198256878090	13.7	1.75	272.0	httfnttr
76561198257377273	13.68	1.39	436.0	kroy
76561198258257656	13.48	11.56	5.0	massoth
76561197968341051	13.47	3.31	78.0	^6KILLALOT^7
76561198154943013	13.44	2.9	84.0	^4masterclaaars^7
76561198080471179	13.26	18.0	2.0	Nitrino
76561198287339338	12.96	6.06	18.0	^3Teplo^7
76561198257391553	12.89	3.05	74.0	vulTure
76561198257437671	12.88	0.88	1557.0	^^0Wood^7
76561197977412349	12.85	25.86	1.0	TK
76561198202963856	12.79	4.37	38.0	Fekete oves
76561198275498876	12.66	6.72	14.0	^7jopozavr
76561198079788427	12.57	0.85	1730.0	^7haz_^4mat^7
76561198002370961	12.52	1.84	231.0	Alostraz
76561198144940773	12.51	14.62	3.0	ortac
76561197991370790	12.25	11.39	5.0	THERES ONLY ONE TYSON FURY
76561197960308495	12.25	4.4	35.0	fazz
76561198256572993	12.15	6.43	16.0	h_
76561198033147146	12.06	9.66	7.0	anykey
76561198014484303	12.02	2.35	143.0	wntt
76561198257534300	12.02	2.77	140.0	^^0kke^7
76561197962056910	11.97	14.34	4.0	grome
76561198154658099	11.87	1.31	469.0	^4#1 ^7un^54^7x*
76561197964623506	11.72	1.19	617.0	^3[ΠΝΔ]DHZ^7
76561199040611782	11.41	3.57	54.0	Railhoe
76561198157637927	11.41	1.42	409.0	mag1c
76561198414877431	11.32	2.53	114.0	phaze
76561197985202252	11.32	8.47	9.0	diabz
76561197960705576	11.28	3.54	55.0	empish
76561198027932374	11.28	11.29	5.0	fire_bot
76561198096221207	11.25	25.62	1.0	Пётр†Кукушкин
76561198061282570	11.14	1.37	452.0	troolz
76561198052757460	11.12	1.62	289.0	1993
76561198069103826	11.1	4.69	37.0	cas
76561198084461653	11.07	8.03	10.0	edgar davison
76561197982646391	11.03	25.25	1.0	^2⊕^7 ία
76561198054367317	10.99	3.09	75.0	[eSport]zubich
76561198196618515	10.96	1.21	576.0	Drayan
76561198017029738	10.93	5.99	18.0	STiCKAN
76561197965104042	10.88	25.4	1.0	Nessy
76561197976338965	10.81	1.56	329.0	h8m3
76561198389279171	10.72	4.17	38.0	KPbICA KOCMOHABT
76561198027318097	10.61	18.32	2.0	@@ GreenJalapeno
76561198026248899	10.55	2.61	107.0	twitch.tv/zanesql
76561198031340555	10.47	2.54	109.0	ParaNoiiA
76561198071790408	10.47	9.9	12.0	UwU
76561197990433883	10.41	2.13	156.0	luke_ie
76561198066244141	10.4	1.01	912.0	snaga
76561198010998587	10.39	2.32	128.0	Vigur
76561198967038183	10.38	2.72	96.0	Xupypr
76561198176657429	10.34	6.36	18.0	sCoopY_
76561198088270117	10.29	3.11	70.0	pipeline
76561198048696522	10.27	2.1	162.0	zik
76561198080701855	10.25	12.58	1.0	Capwn
76561198146266686	10.21	1.93	217.0	^1А^3^1A ^7 andjey
76561198092220135	10.12	23.41	3.0	dallox
76561198057695300	10.09	1.84	225.0	pwz
76561198043070738	10.08	1.33	439.0	^1N^3e^2x^1on^360^2hz^7
76561198166603978	10.08	1.12	691.0	lethal
76561198273482572	10.06	12.57	5.0	TGG
76561198262561818	10.03	9.18	9.0	vodn1y
76561198045011573	10.03	11.36	5.0	prada
76561198012604537	9.9	3.87	49.0	twitch.tv/xiphosnl
76561198028574601	9.8	1.78	236.0	yeah
76561198256416776	9.78	25.43	1.0	gandergander
76561198061191813	9.66	0.96	1062.0	real_grubby
76561197992882111	9.46	3.14	71.0	stripyツ
76561197960547060	9.45	10.26	21.0	exooo
76561198257316057	9.43	5.73	68.0	октябрёнок Вова
76561198117765822	9.42	2.12	196.0	^1♋ ^7KIND^1D^7EVIL
76561197970371067	9.41	6.48	16.0	Lemming
76561198025670942	9.41	2.27	141.0	tripleSex
76561198075079469	9.36	1.88	235.0	d1zulya
76561197979975793	9.36	2.4	130.0	DSHARP3
76561198063034260	9.33	3.05	78.0	Insaccato
76561198042268423	9.2	18.19	2.0	^7jc^4b^7
76561198242191368	9.19	4.02	42.0	JFK
76561198256444891	9.11	6.7	16.0	^7ȤėƦȯ^1‐^7✗
76561198005628397	9.1	1.75	249.0	^kos^7
76561198125416531	9.05	2.13	156.0	elder_ru
76561198200771114	9.04	8.12	10.0	ﬁﬁ
76561198179163925	9.04	2.07	170.0	def
76561198167402681	9.03	2.27	134.0	^7fres^6ARN ^7in a^6C^7tion
76561198156210520	8.92	5.07	27.0	leanimal1
76561198408900893	8.88	3.75	51.0	miso
76561198114832578	8.87	2.7	97.0	kirson
76561198261798195	8.86	1.84	217.0	sinc
76561198274445121	8.68	1.09	746.0	aesick
76561198074596253	8.47	6.26	17.0	otpizjunahuy
76561198066448606	8.46	4.67	33.0	Šħâđøŵ
76561198054868921	8.43	9.13	8.0	YNAM
76561198258932158	8.41	1.05	793.0	vendigo
76561197994335851	8.41	2.4	124.0	OlegTopor2003
76561197976785681	8.39	18.17	2.0	funnyb
76561197983318796	8.34	3.86	48.0	FX
76561198277144867	8.32	15.19	3.0	SouJirO
76561197972822622	8.24	4.13	39.0	keks_
76561198013882729	8.22	25.58	1.0	Mayh
76561198440329815	8.12	3.32	61.0	iam^4NX7^7
76561198096452021	8.12	1.41	389.0	Krestjan
76561197961213721	8.12	3.84	46.0	Trixxter
76561198027897188	8.1	25.13	1.0	CrazyAl
76561197960928741	8.1	2.81	94.0	czm
76561198053186404	8.01	0.77	1988.0	frts
76561198216026276	7.93	1.09	732.0	hiri
76561198043017634	7.87	2.25	137.0	Karroider
76561198257374732	7.75	12.84	4.0	htm
76561198183760169	7.75	1.23	552.0	pl^2^^7r1bo^7
76561197998695243	7.74	2.05	174.0	^6[E4]^7DM
76561198230776040	7.67	4.65	32.0	kest_
76561198033752090	7.66	0.66	4495.0	^7k1lljo^1y^7
76561198352423835	7.59	7.13	49.0	hamper_wf
76561198077398246	7.56	16.34	3.0	depas
76561198141767332	7.54	3.17	67.0	r34.hokum
76561198017950870	7.52	1.18	587.0	Shinobbi
76561197976183478	7.48	15.55	3.0	ddddemetrio
76561198257679175	7.42	0.79	1799.0	^4E^7teto
76561198041115896	7.41	1.5	363.0	^4spooky^7
76561197996988307	7.41	2.45	118.0	saka-rauka1
76561198257527369	7.34	7.67	11.0	^4mco^5re ^7EliKinG
76561198054960537	7.22	1.68	330.0	ChessClub ♜ Neyron
76561198028830634	7.22	10.76	7.0	^4e|^7w1l^4d^7:)
76561197982671330	7.2	1.84	210.0	Raist
76561198145502434	7.14	3.1	75.0	^1RTP ^7bogOtac
76561198016252597	7.11	3.23	86.0	^1♋ ^7podbitiy_olen3
76561198263101905	6.99	25.19	1.0	humanity
76561198122684842	6.89	1.89	203.0	Osnart
76561198082584116	6.84	6.83	14.0	Abra
76561198286173236	6.82	4.28	37.0	derzkaya
76561198192472954	6.81	11.13	7.0	nXt.AllƎʇ
76561198107461408	6.81	1.91	216.0	Dloobiq
76561198166676249	6.79	8.95	9.0	47
76561198077505157	6.78	4.24	39.0	Loxotron
76561197993861011	6.77	5.24	25.0	ani
76561198021635970	6.69	1.91	199.0	Eagleoa
76561198014639632	6.69	14.72	3.0	modus
76561197972123974	6.59	6.32	17.0	emborg
76561197970783081	6.53	2.38	126.0	^2unmd^7
76561197992396121	6.52	4.47	35.0	ZuLuA
76561198000485856	6.49	1.17	603.0	Drebin
76561198064073347	6.48	1.91	230.0	n1
76561198090058821	6.36	1.62	284.0	f7xj
76561198008496401	6.31	4.58	31.0	calipt
76561198138157367	6.3	7.6	11.0	^7crystalwi5dom
76561198047715408	6.19	1.36	425.0	gog
76561198069506777	6.17	25.26	1.0	Hago Istinny
76561198011971999	6.12	7.5	13.0	T1E
76561198214411141	6.1	1.95	186.0	Destiny
76561197994432845	6.09	17.85	2.0	psygib
