excellent	net	netDmg	damage_dealt	QLStats	sNet	sgNet	aNet	alias	games
6.03	23.02	3647.72	10484.51	341.71	11.34	12.23	25.65	winz	135.0
3.53	8.73	1649.84	8127.13	119.66	3.56	5.99	17.4	krysa	26.0
4.5	15.87	2917.16	9263.64	240.13	7.67	9.36	17.21	gainon	119.0
4.88	13.93	2394.24	9184.76	207.13	6.2	8.82	16.79	SPART1E	77.0
4.0	7.82	2583.08	9073.4	180.79	5.84	8.63	16.4	Xron	124.0
4.7	20.71	2931.02	8623.95	245.71	6.99	9.04	16.06	^6deal ^7Silencep	8.0
4.84	23.53	3685.06	9999.99	331.24	9.52	10.85	16.01	abso	498.0
5.14	12.94	2614.24	9588.15	223.1	7.46	9.73	15.04	^2gogoplata^7	1242.0
3.48	16.09	2789.79	8481.54	212.67	6.52	7.87	14.96	ash	5.0
5.74	21.82	3544.26	10399.97	329.08	11.33	13.46	14.79	cwz	38.0
3.86	9.9	2123.64	9040.01	171.84	4.8	7.77	14.75	antonio_by	632.0
3.87	6.84	1922.87	8714.85	138.76	4.56	7.39	14.48	Cheddar Cheese Puffs	359.0
4.84	11.49	3058.57	9202.29	222.07	6.79	8.01	14.16	lithium	31.0
4.65	14.78	3452.83	10148.47	282.63	7.95	9.61	14.14	luminus	180.0
4.28	16.65	2477.8	8743.57	210.85	6.0	7.15	13.83	NW1	194.0
4.08	11.8	2890.72	9543.25	227.13	6.4	8.3	13.79	2dg	149.0
4.57	15.5	2557.45	9187.73	221.6	6.65	8.12	13.76	pavel	113.0
3.44	7.28	2030.75	8810.91	148.16	3.79	7.7	13.7	421	213.0
4.36	11.11	1482.33	8926.35	148.81	5.07	7.26	13.42	agent	97.0
4.44	10.52	2610.02	9379.96	204.58	6.75	9.39	13.33	^1r^2a^3n^4d^5a^6l^7l	632.0
4.31	9.68	1107.58	8505.53	114.04	4.92	6.67	12.92	^4u^3a^6Lasko^7	1795.0
4.21	11.96	2660.08	9258.5	210.16	5.6	7.4	12.28	proZaC	154.0
6.75	21.65	3873.41	10360.9	340.21	10.74	11.82	12.24	えしゃじょうり	10.0
4.34	16.39	2683.0	9473.93	239.7	7.29	9.37	12.02	kenny	157.0
4.1	12.65	2155.11	9017.98	186.19	5.92	8.88	12.01	^7T^14^7NKH	769.0
3.97	7.17	2167.81	9044.95	160.09	4.94	8.14	11.97	PokiMoki	115.0
3.93	8.54	2483.84	9269.35	186.35	5.83	8.29	11.86	^4b52. ^7evt	356.0
4.31	12.16	2252.25	8999.99	187.08	5.48	7.99	11.49	Ant3stor	754.0
4.19	10.28	2057.13	9111.23	173.24	5.2	7.13	11.41	prestij	733.0
3.44	8.23	2039.98	8905.67	156.12	4.69	7.76	11.25	vasnur	1194.0
4.13	7.95	2342.83	9035.27	170.7	5.28	6.69	11.01	om3n	1628.0
4.33	12.2	2090.69	8857.75	176.55	5.64	8.19	11.0	prodigy	1107.0
3.9	5.59	1710.35	8541.33	118.82	3.66	6.55	10.75	pecka	928.0
4.11	15.51	2466.64	8955.78	211.09	6.25	6.95	10.42	^1shuukkx^7	108.0
2.37	10.17	1732.26	7071.6	98.48	1.3	3.13	10.22	GV	9.0
5.03	9.89	2416.76	9497.22	197.25	7.2	8.84	10.17	MASTERMIND	121.0
3.95	8.8	2401.45	9047.17	177.66	5.79	7.7	10.09	YegorB	54.0
3.68	4.55	1384.16	8472.36	98.5	3.01	6.15	10.05	kroy	436.0
4.09	10.86	2597.1	9587.44	212.01	5.93	7.26	9.97	r41dan	124.0
2.9	9.41	2189.82	8148.45	145.27	3.34	5.39	9.84	httfnttr	272.0
2.32	0.16	1074.99	8032.49	50.96	1.26	6.56	9.76	421	41.0
4.22	19.14	3190.84	9229.91	266.41	7.02	8.59	9.75	cockroach	19.0
3.69	1.57	891.02	8037.76	50.8	2.37	5.42	9.64	^6KILLALOT^7	78.0
3.78	12.05	2188.24	8534.42	170.0	5.05	7.93	9.49	ins	76.0
3.73	7.2	2003.58	8770.83	145.47	4.15	6.8	9.44	^4masterclaaars^7	84.0
3.63	9.08	2081.22	8876.79	161.13	4.86	8.29	9.14	^^0Wood^7	1557.0
3.62	7.87	1988.99	8696.52	145.99	4.1	6.26	9.07	nerv	27.0
