steam_id	aNet	SE	games	alias
76561198045866799	15.16	3.38	81.0	abso
76561198122384360	13.71	1.71	1243.0	^4u^3a^6Lasko^7
76561198043345474	13.61	9.66	10.0	cockroach
76561198154943013	13.61	4.72	34.0	^4masterclaaars^7
76561198002515349	13.48	1.97	573.0	^2gogoplata^7
76561197964625360	12.78	3.6	62.0	^1shuukkx^7
76561198106787712	11.97	2.01	309.0	^1r^2a^3n^4d^5a^6l^7l
76561198013666605	11.18	2.02	302.0	Ant3stor
76561198022534637	10.74	1.47	1107.0	prodigy
76561198257561075	10.42	2.32	209.0	antonio_by
76561197985202252	10.38	11.72	5.0	diabz
76561197993233912	10.3	3.78	63.0	proZaC
76561197998695243	9.89	5.04	29.0	^6[E4]^7DM
76561198256352933	9.88	2.13	279.0	om3n
76561198052757460	9.64	2.14	209.0	1993
76561198199452077	9.59	8.61	11.0	Klyb
76561198264657389	9.51	3.65	93.0	NW1
76561198257420521	9.23	1.93	420.0	^7T^14^7NKH
76561198154658099	9.15	1.68	425.0	^4#1 ^7un^54^7x*
76561197964623506	9.07	1.81	370.0	^3[ΠΝΔ]DHZ^7
76561198257391553	8.96	3.48	69.0	vulTure
76561198167402681	8.95	2.7	109.0	^7fres^6ARN ^7in a^6C^7tion
76561198275498876	8.84	7.0	14.0	^7jopozavr
76561198079788427	8.49	1.46	951.0	^7haz_^4mat^7
76561197994123047	8.46	2.05	237.0	vasnur
76561198025225261	8.46	1.86	325.0	pecka
76561198066244141	8.45	1.79	334.0	snaga
76561198032873189	8.36	8.78	18.0	noctis
76561198257437671	8.31	1.7	550.0	^^0Wood^7
76561197996226415	8.23	6.67	20.0	2dg
76561198043070738	7.74	1.57	439.0	^1N^3e^2x^1on^360^2hz^7
76561198171861028	7.4	6.7	20.0	gainon
76561198257377273	7.3	4.74	45.0	kroy
76561198053186404	7.25	1.49	577.0	frts
76561198025670942	7.07	2.86	105.0	tripleSex
76561198023589138	6.83	6.85	19.0	ins
76561198196618515	6.82	3.2	88.0	Drayan
76561198440329815	6.8	4.76	33.0	iam^4NX7^7
76561198200771114	6.57	8.5	10.0	ﬁﬁ
76561198047715408	6.57	3.26	72.0	gog
76561198287339338	6.54	6.66	18.0	^3Teplo^7
76561198026248899	6.52	8.41	10.0	twitch.tv/zanesql
76561198096452021	6.44	1.8	293.0	Krestjan
76561198013356693	6.4	5.4	29.0	HEADZ
76561198166603978	6.34	1.73	322.0	lethal
76561198257679175	6.22	1.44	654.0	^4E^7teto
76561198145502434	6.16	4.39	46.0	^1RTP ^7bogOtac
76561198274445121	6.03	1.74	352.0	aesick
76561198417305282	5.99	11.18	7.0	421
76561198033439430	5.97	4.32	47.0	MASTERMIND
76561197993861011	5.95	6.05	21.0	ani
76561198068070185	5.93	2.52	126.0	KungFool
76561198017029738	5.88	6.89	15.0	STiCKAN
76561198077163281	5.84	18.47	2.0	Zedem0n
76561198033752090	5.79	1.19	1536.0	^7k1lljo^1y^7
76561197960308495	5.75	8.32	10.0	fazz
76561198141767332	5.6	3.58	61.0	r34.hokum
76561198800999671	5.54	15.51	3.0	shiieeet
76561198256393746	5.54	12.73	6.0	sg`
76561198028574601	5.5	2.36	154.0	yeah
76561198063443467	5.43	2.25	162.0	mirror🏴‍☠
76561198061191813	5.42	1.52	547.0	real_grubby
76561198071790408	5.34	10.28	12.0	UwU
76561198393127811	5.14	2.15	186.0	KAK_AGENT
76561197981773839	5.11	26.19	1.0	Valunya
76561198000485856	5.0	1.55	455.0	Drebin
76561198380825290	4.82	1.11	1304.0	Dime
76561198075079469	4.81	3.38	70.0	d1zulya
76561198256203867	4.78	3.95	51.0	prestij
76561198088925347	4.67	6.94	18.0	luminus
76561198166188119	4.58	1.98	230.0	M
76561197968341051	4.43	7.95	14.0	^6KILLALOT^7
76561198314080722	4.42	3.78	63.0	Pumpkin60LG
76561198008496401	4.32	4.89	31.0	calipt
76561198122684842	4.17	2.98	91.0	Osnart
76561197982671330	4.16	2.12	196.0	Raist
76561198017950870	4.15	2.47	135.0	Shinobbi
76561197973313066	4.11	4.31	49.0	r41dan
76561198107461408	3.86	3.66	61.0	Dloobiq
76561198257330241	3.71	1.55	400.0	tough maf
76561198138157367	3.65	7.99	11.0	^7crystalwi5dom
76561198352423835	3.64	13.23	22.0	hamper_wf
76561197995384039	3.62	2.69	109.0	shiieeet
76561198256265484	3.62	1.33	683.0	distel
76561197965308771	3.62	1.37	583.0	drki
76561198258257656	3.6	16.01	3.0	massoth
76561198010942011	3.47	27.73	1.0	^6deal ^7Silencep
76561197972946521	3.47	7.9	12.0	oddi
76561198183760169	3.45	1.93	256.0	pl^2^^7r1bo^7
76561198261798195	3.44	2.68	120.0	sinc
76561198042268423	3.34	19.14	2.0	^7jc^4b^7
76561197965138514	3.33	3.56	59.0	luis
76561198015191195	3.27	4.71	32.0	s7ry
76561198012604537	3.23	10.23	8.0	twitch.tv/xiphosnl
76561198041115896	3.22	2.25	185.0	^4spooky^7
76561198054960537	3.16	3.33	70.0	ChessClub ♜ Neyron
76561198257445213	3.1	11.67	5.0	jaysson
76561198258932158	3.1	1.57	391.0	vendigo
76561198316534406	3.09	4.82	33.0	famelic
76561198119356442	3.01	13.4	4.0	^3Rke^5.^7
76561198005628397	2.99	3.15	85.0	^kos^7
76561198054844275	2.97	6.54	21.0	pavel
76561198286173236	2.88	6.67	16.0	derzkaya
76561198088270117	2.83	6.37	19.0	pipeline
76561198054868921	2.81	9.6	8.0	YNAM
76561198002370961	2.73	18.6	2.0	Alostraz
76561198044065399	2.72	26.88	1.0	krysa
76561198139067104	2.57	6.6	18.0	Fulgore
76561197991806608	2.51	4.06	46.0	owzo
76561198021635970	2.44	5.06	30.0	Eagleoa
76561198093037195	2.4	3.72	58.0	ZUSTARK
76561198007088416	2.39	27.03	1.0	waters
76561198837314284	2.38	4.72	40.0	^5faye   ●^7
76561198013882729	2.37	28.78	1.0	Mayh
76561197983318796	2.36	11.48	6.0	FX
76561198146266686	2.35	9.19	9.0	^1А^3^1A ^7 andjey
76561197961213721	2.33	16.49	3.0	Trixxter
76561198010998587	2.33	20.87	2.0	Vigur
76561198034572568	2.31	1.86	268.0	^7jackass
76561198914897304	2.31	2.84	96.0	^1VK^7
76561198105875888	2.3	10.88	23.0	allufewi
76561198240378464	2.26	1.21	881.0	siXsiXsix
76561198285680726	2.2	1.56	424.0	^2h^3u^1e ^7melech^2e^7sh
76561198284683846	2.12	1.18	931.0	ne_raketa
76561198258475383	2.06	5.53	26.0	BLuE
76561198331212053	2.05	6.87	15.0	dmk1n
76561197992882111	2.04	4.36	41.0	stripyツ
76561197975424969	2.0	13.28	1.0	sh@dy
76561198050090833	1.92	2.16	183.0	oi
76561198216026276	1.91	3.86	53.0	hiri
76561198095507584	1.91	4.91	32.0	Akado
76561198255736445	1.88	2.08	209.0	bolus
76561198090058821	1.84	3.08	84.0	f7xj
76561198060685650	1.79	4.24	41.0	mLaDkY
76561198099916327	1.77	15.96	3.0	oriano
76561198064199875	1.76	1.58	388.0	invi
76561197978616110	1.76	4.39	42.0	??OléDéy
76561197972185309	1.7	7.48	14.0	Bjarke
76561198034044145	1.69	10.78	18.0	slack.
76561197971676902	1.68	6.85	18.0	bitkid
76561198191100033	1.63	19.5	6.0	mouse*
76561198113970099	1.61	26.8	1.0	Lorm
76561198007653853	1.51	1.69	323.0	Valent1ne
76561198071516713	1.48	14.74	4.0	paypej
76561197990318078	1.44	20.73	2.0	zolee
76561198257316780	1.39	4.72	33.0	tr1x0
76561198077505157	1.38	34.76	1.0	Loxotron
76561199155720352	1.37	5.1	28.0	koshmare
76561198025613769	1.23	26.24	1.0	luksus7
76561197994335851	1.18	10.73	6.0	OlegTopor2003
76561198249641364	1.16	6.48	18.0	Timmy
76561198031340555	1.15	9.95	7.0	ParaNoiiA
76561198063072107	1.09	16.64	18.0	mothergarage
76561197990433883	1.01	4.39	40.0	luke_ie
76561197972123974	0.98	7.98	12.0	emborg
76561198034258991	0.98	13.91	1.0	kakers
76561198069839493	0.98	13.91	1.0	Scucchi
76561197996816389	0.98	13.91	1.0	polterizer
76561198289487513	0.98	1.79	280.0	dzouKy
76561198049404772	0.91	13.85	1.0	armaku
76561197992396121	0.88	19.08	2.0	ZuLuA
76561198208200276	0.87	26.13	1.0	spfx
76561198114832578	0.8	3.63	62.0	kirson
76561198008874287	0.78	13.0	1.0	有很多小电影一起看看
76561197978480630	0.78	8.52	11.0	HE4RT
76561198043017634	0.71	9.68	8.0	Karroider
76561198019672639	0.7	1.47	498.0	^7lici
76561198027932374	0.68	18.74	2.0	fire_bot
76561198049631090	0.68	9.36	8.0	twitch.tv/rashan0121
76561197970616509	0.67	26.56	1.0	^1l^2u^3k^4a^5_^7
76561198241584468	0.66	13.14	4.0	swd
76561197965328941	0.65	19.99	2.0	djo9
76561198018569666	0.63	26.27	1.0	D4rkyFirefly
76561198278403238	0.55	10.83	6.0	like_u
76561198043044693	0.53	19.3	2.0	etozheyoj
76561198014639632	0.49	16.27	3.0	modus
76561198186137302	0.48	14.32	4.0	Respa
76561197977680100	0.47	8.28	11.0	PULZ ✿
76561198023716494	0.46	10.2	7.0	spawnzzz
76561198256176051	0.45	2.28	158.0	sombre
76561198258352053	0.44	18.58	2.0	l0l04
76561198414877431	0.39	7.56	14.0	phaze
76561198011905091	0.39	26.63	1.0	hur3r
76561197972539802	0.39	13.21	14.0	wf^4/^7mschr.
76561197960705576	0.35	5.7	23.0	empish
76561198159947488	0.34	26.29	1.0	bjqrn0
76561197992666146	0.34	3.68	54.0	ALF1TO
76561199113373524	0.25	18.46	2.0	SniperXXL
76561198257496197	0.13	26.1	1.0	^3CRYING LAUGHING ^1TOMATO^7
76561198149540641	0.13	5.75	24.0	Cheddar Cheese Puffs
76561198016188616	0.09	26.24	1.0	flukkz
76561197969659574	0.02	15.42	4.0	^4[^7ek^1.^7raw^4]^7
76561198080912087	0.01	26.49	1.0	[ESPAÑOL] 144dian *NEOSTRADA
76561198026705607	-0.01	20.3	2.0	Sev1
76561198866624417	-0.05	13.05	4.0	fog👻
76561197970783081	-0.07	4.13	46.0	^2unmd^7
76561198065147265	-0.07	26.27	1.0	Broccoli
76561197993505667	-0.09	26.39	1.0	Meshhead
76561198060015931	-0.14	2.01	221.0	liveth
76561197985659232	-0.18	1.73	310.0	^4matr^21^4x.^7
76561198130454543	-0.19	32.6	2.0	FATma^3n^7
76561198008234329	-0.24	4.13	46.0	MAKIE
76561197971635353	-0.24	12.35	5.0	BeukeR
76561197977095212	-0.3	18.61	2.0	Sture
76561198211489571	-0.33	8.52	10.0	devknof
76561198258587527	-0.34	2.62	114.0	Vi Na KALTER_BOG
76561198086395647	-0.51	25.98	1.0	IVNRay
76561198273924496	-0.63	30.59	2.0	jb2k
76561197960928741	-0.63	6.64	18.0	czm
76561198020963681	-0.78	13.0	1.0	Kirreen
76561198008977227	-0.78	29.14	1.0	Kanzi the bonobo
76561198000088567	-0.83	13.09	4.0	nvc
76561198042968060	-0.86	18.81	2.0	nettah
