steam_id	aNet	SE	games	alias
76561198043345474	25.75	9.46	10.0	cockroach
76561198045866799	24.09	3.31	81.0	abso
76561197985202252	22.2	11.48	5.0	diabz
76561198154943013	22.06	4.62	34.0	^4masterclaaars^7
76561198002515349	21.95	1.93	573.0	^2gogoplata^7
76561198122384360	21.45	1.67	1243.0	^4u^3a^6Lasko^7
76561197964625360	19.2	3.52	62.0	^1shuukkx^7
76561197993233912	19.14	3.71	63.0	proZaC
76561198264657389	19.11	3.58	93.0	NW1
76561198106787712	18.62	1.97	309.0	^1r^2a^3n^4d^5a^6l^7l
76561198013666605	17.96	1.98	302.0	Ant3stor
76561198257561075	17.68	2.28	209.0	antonio_by
76561198417305282	17.23	10.94	7.0	421
76561197996226415	17.18	6.53	20.0	2dg
76561198256352933	17.13	2.08	279.0	om3n
76561198022534637	16.81	1.44	1107.0	prodigy
76561198032873189	16.54	8.59	18.0	noctis
76561198257420521	16.52	1.89	420.0	^7T^14^7NKH
76561198077163281	16.27	18.08	2.0	Zedem0n
76561198171861028	16.1	6.56	20.0	gainon
76561198023589138	15.77	6.71	19.0	ins
76561197981773839	15.72	25.65	1.0	Valunya
76561198199452077	15.4	8.43	11.0	Klyb
76561198275498876	14.7	6.86	14.0	^7jopozavr
76561197998695243	14.56	4.94	29.0	^6[E4]^7DM
76561198052757460	14.53	2.1	209.0	1993
76561198257437671	14.46	1.67	550.0	^^0Wood^7
76561198257377273	14.43	4.64	45.0	kroy
76561198033439430	14.43	4.23	47.0	MASTERMIND
76561198257391553	14.41	3.41	69.0	vulTure
76561197964623506	14.24	1.77	370.0	^3[ΠΝΔ]DHZ^7
76561198154658099	14.17	1.65	425.0	^4#1 ^7un^54^7x*
76561198079788427	14.01	1.43	951.0	^7haz_^4mat^7
76561198025225261	13.81	1.82	325.0	pecka
76561197994123047	13.69	2.01	237.0	vasnur
76561198800999671	13.62	15.19	3.0	shiieeet
76561198026248899	13.33	8.23	10.0	twitch.tv/zanesql
76561198287339338	13.18	6.52	18.0	^3Teplo^7
76561198066244141	13.17	1.75	334.0	snaga
76561197960308495	12.8	8.15	10.0	fazz
76561198088925347	12.49	6.79	18.0	luminus
76561198196618515	12.45	3.13	88.0	Drayan
76561198167402681	12.38	2.65	109.0	^7fres^6ARN ^7in a^6C^7tion
76561198017029738	12.16	6.74	15.0	STiCKAN
76561198256393746	11.78	12.46	6.0	sg`
76561198044065399	11.78	26.32	1.0	krysa
76561198053186404	11.67	1.46	577.0	frts
76561198043070738	11.42	1.53	439.0	^1N^3e^2x^1on^360^2hz^7
76561197973313066	11.3	4.22	49.0	r41dan
76561198042268423	11.07	18.74	2.0	^7jc^4b^7
76561198440329815	10.84	4.66	33.0	iam^4NX7^7
76561198010942011	10.82	27.16	1.0	^6deal ^7Silencep
76561198200771114	10.81	8.32	10.0	ﬁﬁ
76561198025670942	10.74	2.8	105.0	tripleSex
76561198145502434	10.67	4.3	46.0	^1RTP ^7bogOtac
76561198258257656	10.5	15.68	3.0	massoth
76561198257679175	10.48	1.41	654.0	^4E^7teto
76561198002370961	10.35	18.21	2.0	Alostraz
76561197983318796	10.3	11.24	6.0	FX
76561198054868921	10.16	9.4	8.0	YNAM
76561198274445121	10.08	1.71	352.0	aesick
76561198071790408	9.99	10.07	12.0	UwU
76561198141767332	9.96	3.51	61.0	r34.hokum
76561198013356693	9.96	5.29	29.0	HEADZ
76561198096452021	9.94	1.76	293.0	Krestjan
76561198033752090	9.91	1.16	1536.0	^7k1lljo^1y^7
76561198256203867	9.81	3.86	51.0	prestij
76561198028574601	9.78	2.31	154.0	yeah
76561198054844275	9.77	6.4	21.0	pavel
76561198166603978	9.59	1.69	322.0	lethal
76561198061191813	9.57	1.49	547.0	real_grubby
76561198047715408	9.55	3.2	72.0	gog
76561197968341051	9.53	7.78	14.0	^6KILLALOT^7
76561198008496401	9.43	4.79	31.0	calipt
76561197993861011	9.4	5.92	21.0	ani
76561198393127811	8.85	2.1	186.0	KAK_AGENT
76561198075079469	8.71	3.31	70.0	d1zulya
76561198000485856	8.37	1.52	455.0	Drebin
76561198257445213	7.96	11.43	5.0	jaysson
76561198077505157	7.93	34.04	1.0	Loxotron
76561198068070185	7.92	2.47	126.0	KungFool
